TIME,NAME,ADDRESS,RSSI/SIGNAL
2026-08-20 13:41:01.291279,None,72:A1:FC:14:E5:89,-71
2026-08-20 13:41:01.342427,113685_9C139E7A644C,9C:13:9E:7A:64:4E,-73
2026-08-20 13:41:01.343031,None,56:17:93:42:CC:7E,-75
2026-08-20 13:41:01.377778,ResMed 223238,E8:E0:7E:34:BB:D4,-89
2026-08-20 13:41:01.422441,None,16:CF:3F:8C:71:0A,-63
2026-08-20 13:41:01.462055,Peak Pro 01502,F0:AD:4E:40:19:D5,-84
2026-08-20 13:41:01.535341,Platco PR1,B4:CB:B8:1B:D4:50,-85
2026-08-20 13:41:01.553961,None,49:8B:62:16:C2:C8,-81
2026-08-20 13:41:01.608829,None,E2:55:0E:A7:E0:F3,-70
2026-08-20 13:41:01.741699,None,62:26:D2:78:87:B3,-92
2026-08-20 13:41:01.969251,None,C5:B2:82:5A:F9:BB,-70
2026-08-20 13:41:02.055434,None,56:0D:06:9F:89:5C,-87
2026-08-20 13:41:02.138370,None,C1:4A:A7:E3:64:19,-86
2026-08-20 13:41:02.143236,Charge 4,F1:D1:F5:5E:21:37,-93
2026-08-20 13:41:02.164843,MELK-OF21   5C,BE:28:03:00:20:5C,-94
2026-08-20 13:41:02.171254,None,4C:0A:9A:20:52:61,-75
2026-08-20 13:41:02.183988,None,D7:3B:8C:76:07:08,-83
2026-08-20 13:41:02.432490,None,40:0F:DD:78:D2:23,-76
2026-08-20 13:41:02.483177,None,C7:E7:16:D8:D8:99,-75
2026-08-20 13:41:02.568869,20HL39284591421094,48:87:2D:89:79:5D,-92
2026-08-20 13:41:04.202317,None,46:14:94:F8:8C:64,-94
2026-08-20 13:41:05.037504,None,4D:9D:5C:06:F9:86,-96
2026-08-20 13:41:05.421754,[LG] webOS TV LR600BZUC,DC:EC:4F:D3:8E:A7,-98
2026-08-20 13:41:17.209964,None,F1:63:17:C0:C7:A4,-91
2026-08-20 13:41:18.124821,None,CA:C4:35:FA:D3:02,-95
--------------------test--------------------
2026-08-20 13:41:32.598285,None,5D:F3:29:B4:8F:B0,-90
2026-08-20 13:41:32.668556,None,CC:03:52:DD:39:1C,-90
2026-08-20 13:41:33.065668,None,4E:E1:F0:1E:87:36,-91
2026-08-20 13:41:50.123105,None,FD:35:62:CA:C0:95,-95
2026-08-20 13:42:19.941799,None,EC:9A:AB:5E:AA:3B,-92
2026-08-20 13:42:32.406852,None,65:8E:57:6C:D6:F1,-93
2026-08-20 13:42:32.750544,None,55:6F:54:C1:F4:E4,-94
2026-08-20 13:42:33.129340,None,CB:AB:F6:C1:35:6A,-93
2026-08-20 13:42:34.228537,None,F3:05:52:39:4E:23,-87
2026-08-20 13:43:48.249420,None,5C:D1:E7:9E:EE:BF,-98
2026-08-20 13:44:17.432792,None,4F:E6:3D:82:AF:FC,-93
2026-08-20 13:44:20.371267,None,4A:98:D7:E2:15:B8,-95
2026-08-20 13:44:21.481409,None,61:24:5F:AD:95:40,-99
2026-08-20 13:45:02.140498,None,FB:C0:68:94:33:70,-79
2026-08-20 13:45:02.499852,None,D6:E2:24:71:6A:FF,-86
2026-08-20 13:45:03.811974,None,CD:95:9B:D6:80:D4,-76
2026-08-20 13:45:04.061785,None,C3:B5:21:19:14:4C,-91
2026-08-20 13:45:36.528785,None,C0:0A:05:FB:6C:51,-94
2026-08-20 13:46:06.903201,None,D5:30:C6:F3:6D:C6,-105
2026-08-20 13:46:34.602952,None,6F:99:BB:19:BA:64,-93
2026-08-20 13:46:35.056460,None,D8:5B:F3:7B:CA:1C,-92
