ADDRESS,FIRST_SEEN
72:A1:FC:14:E5:89,None,2026-08-20 13:41:01.291386
9C:13:9E:7A:64:4E,113685_9C139E7A644C,2026-08-20 13:41:01.342522
56:17:93:42:CC:7E,None,2026-08-20 13:41:01.343105
E8:E0:7E:34:BB:D4,ResMed 223238,2026-08-20 13:41:01.377872
16:CF:3F:8C:71:0A,None,2026-08-20 13:41:01.422604
F0:AD:4E:40:19:D5,Peak Pro 01502,2026-08-20 13:41:01.462140
B4:CB:B8:1B:D4:50,Platco PR1,2026-08-20 13:41:01.535440
49:8B:62:16:C2:C8,None,2026-08-20 13:41:01.554045
E2:55:0E:A7:E0:F3,None,2026-08-20 13:41:01.608914
62:26:D2:78:87:B3,None,2026-08-20 13:41:01.741827
C5:B2:82:5A:F9:BB,None,2026-08-20 13:41:01.969399
56:0D:06:9F:89:5C,None,2026-08-20 13:41:02.055530
C1:4A:A7:E3:64:19,None,2026-08-20 13:41:02.138453
F1:D1:F5:5E:21:37,Charge 4,2026-08-20 13:41:02.143318
BE:28:03:00:20:5C,MELK-OF21   5C,2026-08-20 13:41:02.164914
4C:0A:9A:20:52:61,None,2026-08-20 13:41:02.171354
D7:3B:8C:76:07:08,None,2026-08-20 13:41:02.184080
40:0F:DD:78:D2:23,None,2026-08-20 13:41:02.432568
C7:E7:16:D8:D8:99,None,2026-08-20 13:41:02.483235
48:87:2D:89:79:5D,20HL39284591421094,2026-08-20 13:41:02.568951
46:14:94:F8:8C:64,None,2026-08-20 13:41:04.202390
4D:9D:5C:06:F9:86,None,2026-08-20 13:41:05.037576
DC:EC:4F:D3:8E:A7,[LG] webOS TV LR600BZUC,2026-08-20 13:41:05.421823
F1:63:17:C0:C7:A4,None,2026-08-20 13:41:17.210044
CA:C4:35:FA:D3:02,None,2026-08-20 13:41:18.124888
--------------------test--------------------
5D:F3:29:B4:8F:B0,None,2026-08-20 13:41:32.598372
CC:03:52:DD:39:1C,None,2026-08-20 13:41:32.668634
4E:E1:F0:1E:87:36,None,2026-08-20 13:41:33.065745
FD:35:62:CA:C0:95,None,2026-08-20 13:41:50.123174
EC:9A:AB:5E:AA:3B,None,2026-08-20 13:42:19.941910
65:8E:57:6C:D6:F1,None,2026-08-20 13:42:32.406959
55:6F:54:C1:F4:E4,None,2026-08-20 13:42:32.750628
CB:AB:F6:C1:35:6A,None,2026-08-20 13:42:33.129422
F3:05:52:39:4E:23,None,2026-08-20 13:42:34.228648
5C:D1:E7:9E:EE:BF,None,2026-08-20 13:43:48.249497
4F:E6:3D:82:AF:FC,None,2026-08-20 13:44:17.432886
4A:98:D7:E2:15:B8,None,2026-08-20 13:44:20.371335
61:24:5F:AD:95:40,None,2026-08-20 13:44:21.481485
FB:C0:68:94:33:70,None,2026-08-20 13:45:02.140612
D6:E2:24:71:6A:FF,None,2026-08-20 13:45:02.499925
CD:95:9B:D6:80:D4,None,2026-08-20 13:45:03.812066
C3:B5:21:19:14:4C,None,2026-08-20 13:45:04.061862
C0:0A:05:FB:6C:51,None,2026-08-20 13:45:36.528859
D5:30:C6:F3:6D:C6,None,2026-08-20 13:46:06.903290
6F:99:BB:19:BA:64,None,2026-08-20 13:46:34.603040
D8:5B:F3:7B:CA:1C,None,2026-08-20 13:46:35.056533
